ID,x,y,z,wire_direction_x,wire_direction_y,wire_direction_z,halflength,type,sector,layer,layer_lim,sector_lim,num_neighbors
121,21.0757,-13.1822,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
122,10.5379,-19.2662,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
123,9.65978,-19.7732,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
124,8.78163,-20.2802,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
125,7.90348,-20.7872,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
126,7.02533,-21.2942,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
127,6.14718,-21.8012,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
128,5.26903,-22.3082,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
129,4.39088,-22.8152,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
130,3.51273,-23.3222,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
131,11.416,-19.7731,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
132,12.2941,-19.2661,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
133,13.1723,-18.7591,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
134,14.0504,-18.2521,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
135,14.9286,-17.7451,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
136,15.8067,-17.2381,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
137,16.6849,-16.7311,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
138,17.563,-16.2241,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
139,18.4412,-15.7171,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
140,19.3193,-15.2101,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
141,20.1975,-14.7031,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
142,21.0756,-14.1961,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
143,21.9538,-13.6891,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
144,10.5379,-20.2801,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
145,9.6597,-20.7871,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
146,8.78155,-21.2941,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
147,7.9034,-21.8011,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
148,7.02525,-22.3081,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
149,6.1471,-22.8151,39.3,0,0,1,69.8,1,18446744073709551615,18446744073709551615,0,0,0
